date,actual,baseline,random_forest,evaluated
2022-01-01,40.0,,1088.3894381868129,False
2022-01-02,608.0,936.0,1873.0638786630045,True
2022-01-03,3065.0000000000005,4007.000000000001,4132.858405032467,True
2022-01-04,2314.9999999999995,1572.9999999999995,2988.018351302436,True
2022-01-05,1845.0000000000005,3552.0000000000023,3489.828405936478,True
2022-01-06,868.0000000000001,2424.9999999999995,3225.3036590492834,True
2022-01-07,2902.000000000002,1544.9999999999998,3377.7009802706866,True
2022-01-08,1891.0,40.0,1888.58644955045,True
2022-01-09,575.0,608.0,1699.4002841464096,True
2022-01-10,3056.0000000000023,3065.0000000000005,3745.987932692305,True
2022-01-11,3178.0000000000014,2314.9999999999995,2663.090879692344,True
2022-01-12,3181.000000000001,1845.0000000000005,2798.5703380247014,True
2022-01-13,3316.0000000000014,868.0000000000001,3486.3795794061375,True
2022-01-14,3199.0000000000023,2902.000000000002,3378.1749690390025,True
2022-01-15,1690.0000000000005,1891.0,1543.6189770123665,True
2022-01-16,1039.0,575.0,1520.9438884587641,True
2022-01-17,3499.000000000001,3056.0000000000023,3835.7931209648273,True
2022-01-18,1972.9999999999995,3178.0000000000014,3220.5071093340493,True
2022-01-19,2360.0,3181.000000000001,3374.765212899936,True
2022-01-20,3863.000000000002,3316.0000000000014,3557.419666571049,True
2022-01-21,3148.0000000000014,3199.0000000000023,3471.129070829064,True
2022-01-22,1788.0,1690.0000000000005,1785.1116126961278,True
2022-01-23,1767.9999999999995,1039.0,1476.1587289516042,True
2022-01-24,2907.9999999999995,3499.000000000001,4000.163530740698,True
2022-01-25,1999.000000000001,1972.9999999999995,2732.740023709889,True
2022-01-26,2817.000000000001,2360.0,3045.4318201883793,True
2022-01-27,5468.999999999999,3863.000000000002,3586.3826090372168,True
2022-01-28,2794.0000000000005,3148.0000000000014,3127.2567413046545,True
2022-01-29,1935.0000000000005,1788.0,1767.9586971514232,True
2022-01-30,1488.0000000000002,1767.9999999999995,1648.3492992543866,True
2022-01-31,3529.000000000002,2907.9999999999995,3805.191672855818,True
2022-02-01,2519.000000000001,1999.000000000001,2591.046130559639,True
2022-02-02,3751.000000000002,2817.000000000001,3459.7562094483046,True
2022-02-03,2948.9999999999995,5468.999999999999,3923.127689211343,True
2022-02-04,3210.000000000001,2794.0000000000005,3207.0801914269223,True
